customer_state,revenue,orders
SP,5067633.160001288,40501
RJ,1759651.1299998302,12350
MG,1552481.8299998855,11354
RS,728897.4700000229,5345
PR,666063.5100000165,4923
SC,507012.1300000086,3546
BA,493584.14000000624,3256
DF,296498.40999999683,2080
GO,282836.6999999972,1957
ES,268643.4499999953,1995
PE,251889.48999999667,1593
CE,219757.37999999756,1279
PA,174470.5899999987,946
MT,152191.619999999,886
MA,117009.37999999995,717
MS,115429.96999999977,701
PB,112586.81999999992,517
PI,84720.99999999999,476
RN,82105.66,474
AL,78855.71999999996,397
SE,56574.190000000104,335
TO,48402.510000000046,274
RO,45682.76000000007,243
AM,22155.840000000022,145
AC,15930.969999999983,80
AP,13374.809999999996,67
RR,7057.469999999998,41
